persona_name,persona_group,persona_volatility,step_drift,var_drift,total_distance,alpha_p
Cautious Processor,balanced,medium,0.20276093,0.0053396383,1.8248484,0.92540973
Stoic Regulator,suppressive,low,0.15770802,0.0031543504,1.4193722,0.9513876
Calm Reflective,suppressive,low,0.16851814,0.0036578537,1.5166633,0.9417706
Detached Observer,suppressive,low,0.12839453,0.0020638653,1.1555507,0.9663441
Rational Analyzer,suppressive,low,0.097152404,0.0011960939,0.87437165,0.97745186
Emotionally Volatile,reactive,high,0.07718537,0.00045431577,0.69466835,0.110290706
Highly Sensitive,reactive,high,0.2436878,0.0069125625,2.19319,0.43941545
Easily Overwhelmed,reactive,high,0.03397284,3.9616705e-05,0.30575556,0.026550476
Impulsive Reactor,reactive,high,0.2343674,0.006404219,2.1093066,0.4433067
Optimistic Interpreter,positive,medium,0.12583183,0.0020523677,1.1324865,0.9865302
Gratitude Focused,positive,medium,0.26979387,0.009465855,2.4281447,0.8955416
Hope Oriented,positive,medium,0.19732799,0.0048529566,1.7759519,0.96155053
Reward Seeker,positive,medium,0.35845518,0.016486254,3.2260966,0.7574722
Negative Anticipator,negative,medium,0.13710329,0.0024378519,1.2339296,0.98216563
Critical Evaluator,negative,medium,0.31507295,0.012946647,2.8356566,0.8635934
Self Demanding,negative,medium,0.3373798,0.014762568,3.0364184,0.8129467
Threat Aware,negative,medium,0.15956931,0.0032686074,1.4361237,0.97436404
Emotionally Balanced,balanced,medium,0.16404954,0.0033815724,1.4764458,0.9524554
Empathy Driven,balanced,medium,0.3525136,0.015634906,3.1726224,0.6808769
Socially Sensitive,balanced,medium,0.28778648,0.010798383,2.5900784,0.8621408
Cautious Processor,balanced,medium,0.20409049,0.0054051867,1.8368144,0.92540973
Stoic Regulator,suppressive,low,0.15682554,0.0031193593,1.4114299,0.9513876
Calm Reflective,suppressive,low,0.16748942,0.0036142645,1.5074048,0.9417706
Detached Observer,suppressive,low,0.12776296,0.0020432964,1.1498666,0.9663441
Rational Analyzer,suppressive,low,0.09671723,0.0011852514,0.8704551,0.97745186
Emotionally Volatile,reactive,high,0.07165417,0.00041626507,0.64488757,0.110290706
Highly Sensitive,reactive,high,0.24097095,0.0067812633,2.1687386,0.43941545
Easily Overwhelmed,reactive,high,0.02918958,2.9271725e-05,0.26270622,0.026550476
Impulsive Reactor,reactive,high,0.23168519,0.0062788213,2.0851667,0.4433067
Optimistic Interpreter,positive,medium,0.12559305,0.0020444863,1.1303375,0.9865302
Gratitude Focused,positive,medium,0.2682127,0.009358159,2.4139144,0.8955416
Hope Oriented,positive,medium,0.19661814,0.0048167547,1.7695632,0.96155053
Reward Seeker,positive,medium,0.35626078,0.01628826,3.206347,0.7574722
Negative Anticipator,negative,medium,0.13677394,0.0024260057,1.2309655,0.98216563
Critical Evaluator,negative,medium,0.3132319,0.012800009,2.819087,0.8635934
Self Demanding,negative,medium,0.3352969,0.014585536,3.017672,0.8129467
Threat Aware,negative,medium,0.15908656,0.0032484436,1.431779,0.97436404
Emotionally Balanced,balanced,medium,0.16318613,0.0033459242,1.4686751,0.9524554
Empathy Driven,balanced,medium,0.35030806,0.015438387,3.1527727,0.6808769
